Study,Title,Organism,Project Type,Description,Factors,Assays,Mission,Experiment Platform,DOI
OSD-278,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model,Drosophila melanogaster,Spaceflight Study,"While it has been shown that astronauts suffer immune disorders after spaceflight, the underlying causes are still poorly understood and there are many variables to consider when investigating the immune system in a complex environment. Additionally, there is growing evidence that suggests that not only is the immune system being altered, but the pathogens that infect the host are significantly influenced by spaceflight and ground-based spaceflight conditions. In this study, we demonstrate that Serratia marcescens (strain Db11) was significantly more lethal to Drosophila melanogaster after growth on the International Space Station than ground-based controls, but that the host immune system is not significantly altered amongst known immune genes. High-throughput sequencing of wild-type (w1118) adult hosts infected with either space or ground-reared S. marcescens revealed few changes in gene expression, with 11 genes significantly differentially expressed (q-values <0.05) and only one gene related to the immune system. This data supports the main findings of the paper, which state that both spaceflight and low-shear modeled microgravity conditions increase the virulence of this pathogen, independent of the host immune system. This data, which shows that there are no significant immune-related changes to the host when infected with space-grown sample compared to ground-grown sample, provides further evidence that there are likely phenotypic changes to the pathogen itself that is causing increased virulence in spaceflight and in low-shear modeled microgravity. RNA was extracted in triplicate from 2 pooled adult (2-3 day old female) Drosophila melanogaster (w1118) per treatment, with 4 total treatment groups (no injection control, sham injection with PBS, ground bacteria-injected, and space bacteria-injected) with poly(A)+ RNA libraries. Samples were multiplexed and sequenced 100bp paired-end ready were sequenced on one lane of the Illumina HiSeq-4000.","Spaceflight
Infection",transcription profiling,SpaceX-5,FIT (Fly Immunity and Tumors) cassette and changeout platform,10.26030/5cd0-qt74
OSD-279,International Space Station flight project EXTREMOPHILES,cellular organisms,Spaceflight Study,"The International Space Station (ISS) is a unique habitat for humans and microorganisms. Here, we report the results of the ISS experiment EXTREMOPHILES, including the analysis of microbial communities from several areas aboard at three time points. We assess microbial diversity, distribution, functional capacity and resistance profile using a combination of cultivation-independent analyses (amplicon and shot-gun sequencing) and cultivation-dependent analyses (physiological and genetic characterization of microbial isolates, antibiotic resistance tests, co-incubation experiments). We show that the ISS microbial communities are highly similar to those present in ground-based confined indoor environments and are subject to fluctuations, although a core microbiome persists over time and locations. The genomic and physiological features selected by ISS conditions do not appear to be directly relevant to human health, although adaptations towards biofilm formation and surface interactions were observed. Our results do not raise direct reason for concern with respect to crew health, but indicate a potential threat towards material integrity in moist areas.","Spaceflight
Sample Location",metagenome profiling,Orbital ATK flight CRS-7,International Space Station (ISS),10.26030/yq3h-6a61
OSD-280,Salivary microbiome sequencing of astronauts,cellular organisms,Spaceflight Study,"This study's goal was to examine if any salivary microbiome changes were observed in astronauts as a result of spaceflight. In addition, this study looked for any microbiome signature that may be associated with viral reactivation in humans","Spaceflight
Time",metagenome profiling,,,10.26030/q6n1-hh96
OSD-281,"During development, the Sku5 mutant roots engage different genes than wild type WS roots, either on the ground or in spaceflight.",Arabidopsis thaliana,Spaceflight study,"The wild type WS plants and the Sku5 mutant plants in the WS background were germinated on ISS or on the ground and the gene expression profiles in roots at 4 days or 8 days were established. The Sku5 gene (AT4G12420) codes for a multi-copper oxidase-like protein SKU5 protein that is involved in directed root tip growth. The Sku5 protein is glycosylated, GPI-anchored and localizes to the plasma membrane and the cell wall. The Sku5 gene is expressed most strongly in expanding tissues. The development of WS and Sku5 plants on orbit differs from that on the ground as demonstrated by the comparison of the gene expression profiles between 4 days old to 8 days old plant in the two environments. However the development of Sku5 mutant plants also differs from WS at either age and in either environment, suggesting the role of the genetic background in these developmental decisions. The 4 days old Sku5 roots in orbit engaged substantially more genes than the 4 days old WS roots in orbit but also more than the 4 days old Sku5 roots on the ground. Overall the 4 days old roots differentially expressed more genes in spaceflight relative to ground than the 8 days old roots of either genotype. Finally, the 4 days old Sku5 roots in orbit differ in 862 genes from the 8 days Sku5 roots in orbit while on the ground there is merely half of the number of genes differentially expressed between the 4 days and 8 days developmental stages of the Sku5 roots. APEX03-2 (Advanced Plant Experiment 03-2) also identified as TAGES-Isa (Transgenic Arabidopsis Gene Expression System—Intracellular Signaling Architecture) was launched on SpaceX mission CRS-5 on 10 January 2015. Dry, sterilized Arabidopsis seeds were planted aseptically on the surface of 10-cm2 solid media plates and remained dormant until removed from cold stowage and exposed to light at the initiation of the experiment on the ISS (International Space Station). The plates were grown in the Vegetable Production System (VPS/Veggie) hardware on the Columbus Module of the ISS with the overhead LED lighting of the VPS. At four or for the second experimental set at eight days, seedlings were harvested by an astronaut into KFT (Kennedy Fixation Tube) containing RNAlater solutions. Upon return to Earth, the harvested material was used to compare the transcriptomes of each genotype and each age using RNAseq technology. The patterns of gene expression was compared between treatments (spaceflight versus ground control) within each genotype of same age or between two ages within same genotype and within same treatment. For 4 day old roots 5-8 roots were combined to serve as one biological replica. For 8 day old roots 2-3 roots were used to form one biological replica. In each case the four biological replicas were used for the transcriptomic analysis.","Spaceflight
Age
Genotype",transcription profiling,SpaceX-3,Vegetable Production System (VPS/Veggie),10.26030/j07k-nm86
OSD-282,The Heat-Inducible Transcription Factor HsfA2 Enhances Anoxia Tolerance in Arabidopsis,Arabidopsis thaliana,Ground Study,"Anoxia induces several heat shock proteins and a heat pre-treatment can acclimatize Arabidopsis seedlings to a subsequent anoxic treatment. In this work we analyzed the response of Arabidopsis seedlings to anoxia, heat and a combined heat+anoxia stress. A significant overlapping between the anoxic and heat shock responses has been observed by whole-genome microarray analysis. Overall design: We treated Arabidopsis seedling, 4-days old, dark germinated with: Control (23C, dark, liquid Murashige-Skoog medium containing 30mM sucrose). Heat-treated (38C for 90 minutes, dark, liquid Murashige-Skoog medium containing 30mM sucrose). Anoxia-treated (23C, under anoxia for 6h, dark, liquid Murashige-Skoog medium containing 30mM sucrose). Combined heat+Anoxia-treatment (23C, treated at 38C for 90 min and thereafter under anoxia for 6h, dark, liquid Murashige-Skoog medium containing 30mM sucrose). Two biological replicates for each condition.",Treatment,transcription profiling,,,10.26030/d4sy-xc79
OSD-283,Dynamic gene expression response to altered gravity in human myelomonocytic U937 cells [parabolic],Homo sapiens,Parabolic Flight Study,We investigated differentially regulated genes in human myelomonocytic U937 cells in 20s and 5min microgravity and in hypergravity and compared expression profiles to identify potential gravity-regulated genes and adaptation processes. Overall design: Human myelomonocytic U937 cells were exposed to altered gravity during a parabolic flight.,Altered Gravity,transcription profiling,,"Storage rack, cooling rack, working rack",10.26030/ge2v-wr94
OSD-284,"Expression data from rice calli cultured with 2,4-D",Oryza sativa,Spaceflight Study,"Four days old rice calli were selected to grow 324h under spaceflight controls, 1g-flight controls and 1g-ground controls. We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Rice calli were selected at different treatment for RNA extraction and hybridization on Affymetrix microarrays. We sought to obtain the diff-genes that caused by the microgravity.","Spaceflight
Altered Gravity",transcription profiling,,Science in Microgravity Box (SIMBOX),10.26030/j1p7-7637
OSD-285,Chronic low dose-rate versus acute ionizing radiation induced gene expression in primary derived prostate fibroblasts,Homo sapiens,Ground Study,"Using a novel flood source construct, we performed a direct comparison of genome-wide gene expression regulations resulting from exposure of primary human prostate fibroblast cultures to acute (10cGy and 200cGy) and longer-term chronic (1.0-2.45cGy cumulative over 24hr) exposures.","Ionizing Radiation
Time
Absorbed Radiation Dose",transcription profiling,,,10.26030/yc3v-1507
OSD-286,CRV vehicles meta-genome,cellular organisms,Spaceflight Study,Metagenome analysis of ISS cargo resupply vehicles (CRV),"Spaceflight
Treatment
Sample Location",metagenome profiling,,,10.26030/bpy1-r862
OSD-287,Murine TCR-beta repertoire sequencing,Mus musculus,Ground Study,The purpose of this project was to determine the effects of chronic exposure to unpredictable mild socio-environmental stressors during gestation on the TCR-beta repertoire of newborn mice.,"Treatment
Sex",transcription profiling,,,10.26030/bdj1-7k11
OSD-288,Transcriptome analysis of murine spleen in space,Mus musculus,Spaceflight Study,"Our study aims to comprehensively understand effects induced by the space environment on mammals. To achieve this aim, we analyze the male mice housed under environments as the artificial gravity and the microgravity (space environment) in Japanese Experiment Module JEM) of the International Space Station (ISS) on orbit for 35 days. After recovered these mice on the ground, transcriptome analysis by next-generation sequencing technology is performed about spleen to examine alteration of gene expression in the space.","Spaceflight
Altered Gravity",transcription profiling,SpaceX-9,Mouse habitat Unit,10.26030/9ntw-qy67
OSD-289,Impact of spaceflight on gene expression in the thymus,Mus musculus,Spaceflight study,"The thymus undergoes atrophy during spaceflight. In this study, we analyzed gene expression of the thymus of mice on board International space station to elucidate molecular aspects of the thymic atrophy by spaceflight.","Spaceflight
Altered Gravity
Space Mission",transcription profiling,"SpaceX-9, SpaceX-12",Mouse Habitat Unit,10.26030/s0ag-yx79
OSD-290,Lower eukaryotic isolates belonging to class Tremellomycetes isolated from International Space Station Genome sequencing and assembly,"Naganishia adeliensis
Naganishia albida
Naganishia sp.
Papiliotrema laurentii",Spaceflight Study,Genome sequencing and assembly of lower Eukaryotic isolates belonging to class Tremellomycetes isolated from International Space Station,"Spaceflight
Strain",genome sequencing,,,10.26030/td9j-ga98
OSD-291,"Kineosporiaceae bacterium B12, whole genome shotgun sequencing project",,Ground Study,"Rubinsicoccus jplei genome, a novel genus isolated from JPL spacecraft environment where Mars 2020 subsystems are assembled.",Strain,genome sequencing,,,10.26030/gkkh-gt02
OSD-293,Draft Genome sequences of Rhodotorula mucilaginosa isolated from the International space station,Rhodotorula mucilaginosa,Spaceflight Study,Draft Genome sequences of Rhodotorula mucilaginosa isolated from the International space station.,"Spaceflight
Strain",genome sequencing,,,10.26030/714q-xt55
OSD-294,Efficient Identification of Multiple Pathways: RNA-Seq Analysis of Livers from 56Fe Ion Irradiated Mice,Mus musculus,Ground Study,"Background: mRNA interactions with each other and other signaling molecules define different biological pathways and functions. Researchers have been investigating various tools to analyze these types of interactions. In particular, gene co-expression network methods have proved useful in finding and analyzing these molecular interactions. Many different analytical pipelines to identify these interactions networks have been proposed with the aim of identifying an optimal partition of the network where the individual modules are neither too small to make any general inference or too large to be biologically interpretable. Results: In this study, we propose a new pipeline to perform gene co-expression network analysis. The proposed pipeline uses WGCNA, a widely used software to perform different aspects of gene co-expression network analysis and modularity maximization algorithm to analyze novel RNA-Seq data to understand the effects of low-dose 56Fe ion irradiation on the formation of hepatocellular carcinoma in mice. The network results along with experimental validation show that using WGCNA combined with Modularity provide a more biologically interpretable network in our dataset. Our pipeline showed better performance than the existing clustering algorithm in WGCNA in finding modules and identified a module with mitochondrial subunits that are supported by mitochondrial complex assay. Conclusions: We present a pipeline that can reduce the problem of parameter selection with the existing algorithm in WGCNA for comparable RNA-Seq datasets which may assist in future research to discover novel mRNA interactions and their downstream molecular effects. C57BL16 males were placed into 2 treatment groups and received the following irradiation treatments at Brookhaven National Laboratories (Long Island, NY): 600 MeV/n 56Fe (0.2 Gy), and no irradiation. Left liver lobes were collected at 30, 60, 120, 270, and 360 days post-irradiation, flash frozen and stored at -80°C until they could be processed for RNA-Seq. Livers were sampled by taking two 40-micron thick slices using a cryotome at -20°C. This allowed multiple sampling of the tissue without the tissue going through multiple freeze/thaw cycles. Total RNA was isolated from the liver slices using RNAqueousTM Total RNA Isolation Kit (ThermoFisher Scientific, Waltham, MA) and rRNA was removed via Ribo-ZeroTM rRNA Removal Kit (Illumina, San Diego, CA) prior to library preparation with the Illumina TruSeq RNA Library kit. Samples were sequenced in a paired-end 50 base format on an Illumina HiSeq 1500. Reads were aligned to the mouse GRCm38 reference genome using the STAR alignment program, version 2.5.3a, with the recommended ENCODE options. The -quantMode GeneCounts option was used to obtain read counts per gene based on the Gencode release M14 annotation file. Total number of reads used in analysis varies between 23-35 millions of reads.","Ionizing Radiation
Time of Sample Collection After Treatment",transcription profiling,,,10.26030/ctwz-b762
OSD-295,RNA-Seq transcriptome profiling of soleus from adult and aged mice following disuse muscle atrophy and recovery,Mus musculus,Ground Study,"Rodent hind limb unloading was used as a model for reduced muscle activity and eventual atrophy. After a 10 day period of unloading, mice in this study were “reloaded” for 3 days and regained use of their hind limbs. We report the application of Next-generation sequencing (NGS) technology for high-throughput profiling of mRNA in soleus muscle of adult (6 mo) and aged (22-24 mo) mice. Our goal was to determine the effects of hind limb unloading and reloading on mRNA profiles in soleus muscle and compare between adult and aged mice. We find that there are distinct response in the profile of fatty acid oxidation, TCA cycle, ETC oxidative phosphorylation gene expression patterns in response to unloading and reloading. The repsonses are generally simialr between young and old mice.","Hindlimb Unloading
Age",transcription profiling,,,10.26030/xy8e-x059
OSD-296,Transcription profiling of Arabidopsis seedings exposed to UV-B irradiation,Arabidopsis thaliana,Ground Study,"Interaction of COP1 and UVR8, which regulate UV-B-induced photomorphogenesis and stress acclimation in Arabidopsis thaliana.","Genotype
Treatment
Light
Time",transcription profiling,,,10.26030/exp5-0232
OSD-297,Dynamic gene expression response to altered gravity in human myelomonocytic U937 cells [sounding rocket],Homo sapiens,Parabolic Flight Study,We investigated differentially regulated genes in human myelomonocytic U937 cells in 20s and 5min microgravity and in hypergravity and compared expression profiles to identify potential gravity-regulated genes and adaptation processes. Overall design: Human myelomonocytic U937 cells were exposed to altered gravity during a sounding rocket mission.,"Altered Gravity
Treatment",transcription profiling,,,10.26030/bb5k-1h18
OSD-298,Draft Genome Sequences of Sphingomonas sp. Isolated from the International Space Station Genome sequencing and assembly,"Sphingobacterium paucimobilis
Sphingomonas sanguinis",Spaceflight Study,Draft Genome Sequences of Sphingomonas sp. Isolated from the International Space Station,"Strain
Spaceflight",genome sequencing,,,10.26030/69mw-x716
OSD-299,Sphingomonas Metagenomic assembly,Sphingomonas sanguinis,,Metagenome Assembled Genome (MAG) of Sphingomonas sanguinis from the International Space Station metagenome,Spaceflight,metagenome profiling,,International Space Station (ISS),10.26030/snd6-8j39
OSD-300,Draft Genome Sequences of Members of the family Methylobacteriaceae Associated with the International Space Station,"Methylobacterium sp.
Methylorubrum rhodesianum",Spaceflight Study,Draft Genome Sequences of isolates belonging to family Methylobacteriaceae Isolated from the International Space Station,"Spaceflight
Strain",genome sequencing,,International Space Station (ISS),10.26030/r5a8-h480
OSD-301,Eruca sativa Rocket Science RNA-seq,Eruca vesicaria,Spaceflight Study,"In the 'Rocket Science' citizen science project Eruca sativa (salad rocket) seeds stored for six months on board of the International Space Station caused delayed crop establishment. Here we investigated the physiological and molecular mechanisms underpinning the spaceflight effects on dry seeds. We found that 'Space' seed germination vigor was reduced and aging sensitivity increased, but the spaceflight did not compromise seed viability and the development of normal seedlings. Comparative analysis of the transcriptomes (using RNASeq) in dry seeds and upon controlled artificial aging treatment (CAAT) revealed differentially expressed genes (DEGs) associated with spaceflight and ageing. DEG categories enriched by spaceflight and CAAT included transcription and translation with reduced transcript abundances for 40S and 60S ribosomal subunit genes. Among the 'spaceflight-up' DEGs were Heat Shock Protein (HSP), DNAJ-related chaperones, a Heat Shock Factor (HSFA7a-like), and components of several DNA repair pathways (e.g. ATM, DNA ligase1). The 'response to radiation' category was especially enriched in 'spaceflight-up' DEGs including HSPs, catalases and the transcription factor HY5. The major finding from the physiological and transcriptome analysis is that spaceflight causes vigor loss and partial ageing during air-dry seed storage, for which space environmental factors and consequences for seed storage during spaceflights are discussed.","Spaceflight
Treatment",transcription profiling,Soyuz 44S,,10.26030/wnm5-8942
OSD-302,ISS Enterobacteriales Genomes,"Enterobacter bugandensis
Klebsiella quasipneumoniae
Pantoea brenneri",Spaceflight Study,The microbial tracking-1 (MT-1) investigation allowed the characterization of the microbial population aboard the International Space Station (ISS).,"Spaceflight
Strain",genome sequencing,,,10.26030/b0sb-4f79
OSD-303,ISS Bacillus Genomes,"Bacillus amyloliquefaciens
Bacillus firmus
Paenibacillus polymyxa
Thermus amyloliquefaciens",Spaceflight Study,SRA of spore forming Bacillus strains isolated from various areas of the ISS during Microbial tracking investigation,"Spaceflight
Strain",genome sequencing,,,10.26030/2xv3-8956
OSD-304,Global gene expression in response to X rays in mice deficient in Parp1,Mus musculus,Ground Study,"There is a current interest in the development of biodosimetric methods for rapidly assessing radiation exposure in the wake of a large-scale radiological event. The initial focus of this work has largely centered on determining the exposure dose to an individual using biological indicators. Gene expression signatures are showing promise for biodosimetric application, but little is known about how these signatures might translate for the assessment of radiological injury in radiosensitive individuals, who comprise a significant fraction of the general population, and who would likely require treatment following lower doses. Using Parp1-/- mice as a model radiation sensitive genotype, we have investigated the effect of this DNA repair deficiency on the gene expression response to radiation. Although Parp1 is known to play general roles in regulating transcription, the pattern of gene expression changes observed 24 h after exposure to a potentially lethal LD50 dose of radiation was remarkably similar in the two genotypes, and indicated similar levels of activation of both the p53 and NFκB radiation response pathways. In contrast, exposure of wild-type mice to a sub-lethal dose that was equal to the LD50 dose given to the Parp1-/- mice, resulted in a reduced gene expression response. Gene expression classifiers trained on the wild-type data correctly identified all wild-type samples as unexposed, exposed to a sub-lethal dose, or exposed to a potentially lethal dose. All unexposed samples from the Parp1-/- mice were also correctly classified, and 80% of the irradiated samples were identified as exposed to a potentially lethal dose. The results of this study suggest that, at least for some genotypes, gene expression has the potential to accurately detect the extent of radiological injury, rather than being useful only as a surrogate of physical radiation dose.","Ionizing Radiation
Absorbed Radiation Dose
Genotype",transcription profiling,,,10.26030/yhtx-w392
OSD-305,"Transcriptomic responses of Serratia liquefaciens cells grown under simulated Martian conditions of low temperature, low pressure, and CO2-enriched anoxic atmosphere.",Serratia liquefaciens,Ground Study,"Results from previous experiments indicated that the Gram-negative a-proteobacterium Serratia liquefaciens strain ATCC 27592 was capable of growth under low temperature (0C), low pressure (0.7 kPa), and anoxic, CO2-dominated atmosphere--conditions intended to simulate the near-subsurface environment of Mars (Schuerger A.C. et al., Astrobiology 13: 115-131, 2013). To probe the response of its transcriptome to this extreme environment, S. liquefaciens ATCC 27592 was cultivated under 4 different environmental simulations: 0C, 0.7 kPa, CO2 atmosphere (Condition A); 0C, ~101.3 kPa, CO2 atmosphere (Condition B); 0C, ~101.3 kPa, ambient N2/O2 atmosphere (Condition C); and 30C, ~101.3 kPa, N2/O2 atmosphere (Condition D; ambient laboratory conditions). RNA-seq was performed on ribosomal RNA-depleted total RNA isolated from triplicate cultures grown under Conditions A-D and the datasets generated were subjected to transcriptome analyses. The data from Conditions A, B, or C were compared to laboratory Condition D. Significantly differentially expressed transcripts were identified belonging to a number of KEGG pathway categories. Up-regulated genes under all Conditions A, B, and C included those encoding transporters (ABC and PTS transporters); genes involved in translation (ribosomes and their biogenesis, biosynthesis of both tRNAs and aminoacyl-tRNAs); DNA repair and recombination; and non-coding RNAs. Genes down-regulated under all Conditions A, B, and C included: transporters (mostly ABC transporters); flagellar and motility proteins; genes involved in phenylalanine metabolism; transcription factors; and two-component systems. The results are discussed in the context of Mars astrobiology and planetary protection.","Temperature
Atmospheric Pressure
Atmospheric Composition",transcription profiling,,,10.26030/xwh2-f280
OSD-306,Draft Genome Sequences of novel Agrobacterium genomospecies 3 Associated from the International Space Station,Agrobacterium genomosp. 3,Spaceflight Study,The whole-genome sequences (WGS) of three pathogenic bacterial strains collected from the International Space Station (ISS) were generated and identified as being part of Class Alphaproteobacteria. The WGS studies would enable further genomic/biochemical characterization of taxa for these bacteria that have been subjected to the microgravity conditions of space.,"Spaceflight
Strain",genome sequencing,,,10.26030/5d0n-3h33
OSD-307,Evaluating the Lettuce Metatranscriptome with MinION Sequencing for Future Spaceflight Food Production Application,Microbiota,Ground Study,"Healthy plants are vital for successful, long-duration missions in space, as they provide the crew with life support, food production, and psychological benefits. The microorganisms that associate with plant tissues play a critical role in improving plant growth, health, and production. To that end, it is necessary to develop methodologies that investigate the metabolic activities of the plant’s microbiome in orbit to enable rapid responses regarding the care of plants in space. In this study, we developed a protocol to characterize the endophytic and epiphytic microbial metatranscriptome of red romaine lettuce, a key salad crop that was grown under International Space Station (ISS)-like conditions. Microbial transcripts enriched from host-microbe total RNA were sequenced using the Oxford Nanopore MinION sequencing platform. Results showed that this enrichment approach was highly reproducible and effective for rapid on-site detection of microbial transcriptional activity. Taxonomic analysis based on 16S and 18S rRNA transcripts identified that the top five most abundant phyla in the lettuce microbiome were Firmicutes, Proteobacteria, Actinobacteria, Bacteroidetes, and Ascomycota. The metatranscriptomic analysis identified the expression of genes involved in many metabolic pathways, including carbohydrate metabolism, energy metabolism, and signal transduction. Network analyses of the expression data show that, within the signal transduction pathway of the fungal community, the Mitogen-Activated Protein Kinase signaling pathway was tightly regulated across all samples and could be a potential driver for fungal proliferation. Our results demonstrated the feasibility of using MinION-based metatranscriptomics of enriched microbial RNA as a method for rapid, on-site monitoring of the transcriptional activity of crop microbiomes, thereby helping to facilitate and maintain plant health for on-orbit space food production.","Relative Humidity
CO2 Concentration
Temperature",transcription profiling,,,10.26030/1yxz-hb69
OSD-308,Differential expression profiles of long non-coding RNAs during the mouse pronucleus stage under normal gravity and simulated microgravity,Mus musculus,Ground Study,"We report the application of single-molecule-based sequencing technology for high-throughput profiling of lncRNA in mouse cells. By obtaining over 47 million bases of sequence, we identified 3,307 lncRNAs based on single-cell RNA sequencing (RNA-Seq) data, discovered 52 lncRNAs that were significantly differentially expressed, and then selected 10 lncRNAs for qRT-PCR validation. Furthermore, we found that 12 lncRNAs with the target gene Tubb4b or Actn4 might be related to the expression of microtubule and microfilament proteins and the binding relationship was confirmed in a dual-luciferase reporter assay. Finally, Gene Ontology (GO) analysis revealed that the target genes of the differentially expressed lncRNAs participated in cellular processes related to protein transport, binding, catalytic activity, membrane-bounded organelles, protein complexes and the cortical cytoskeleton.",Microgravity Simulation,transcription profiling,,,10.26030/dja4-r932
OSD-309,Comparative Genomic Analysis of Klebsiella Exposed to Various Space Conditions at the International Space Station,"Klebsiella aerogenes
Klebsiella pneumoniae
Klebsiella quasipneumoniae",Spaceflight Study,"Due to the bacteria's evolved resistance to radiation, Klebsiella poses a great threat to not only planetary protection, but also to the integrity of future biological experiments in outer space. While previous literature has shown varying degrees of sensitivity in klebsiella to a high radiation environment, not much is known about the genetic component that yields this microbial advantage. Our research objective is to pinpoint the genetic advantage some Klebsiella species acquire as they are exposed to a space-like environment through a comparison of whole genomes sequences to better control microbial contamination onboard the ISS.","Spaceflight
Strain",genome sequencing,,,10.26030/m8ey-1724
OSD-310,Spaceflight-induced (STS-62) vertebral bone loss in ovariectomized rats is associated with increased bone marrow adiposity and no change in bone formation,Rattus norvegicus,Spaceflight Study,"There is often a reciprocal relationship between bone marrow adipocytes and osteoblasts, suggesting that marrow adipose tissue (MAT) antagonizes osteoblast differentiation. MAT is increased in rodents during spaceflight but a causal relationship between MAT and bone loss remains unclear. In the present study, we evaluated the effects of a 14-day spaceflight on bone mass, bone resorption, bone formation, and MAT in lumbar vertebrae of ovariectomized (OVX) rats. Twelve-week-old OVX Fischer 344 rats were randomly assigned to a ground control or flight group. Following flight, histological sections of the second lumbar vertebrae (n equals 11/group) were stained using a technique that allowed simultaneous quantification of cells and preflight fluorochrome label. Compared with ground controls, rats flown in space had 32% lower cancellous bone area and 306% higher MAT. The increased adiposity was due to an increase in adipocyte number (224%) and size (26%). Mineral apposition rate and osteoblast turnover were unchanged during spaceflight. In contrast, resorption of a preflight fluorochrome and osteoclast-lined bone perimeter were increased (16% and 229%, respectively). The present findings indicate that cancellous bone loss in rat lumbar vertebrae during spaceflight is accompanied by increased bone resorption and MAT but no change in bone formation. These findings do not support the hypothesis that increased MAT during spaceflight reduces osteoblast activity or lifespan. However, in the context of ovarian hormone deficiency, bone formation during spaceflight was insufficient to balance increased resorption, indicating defective coupling. The results are therefore consistent with the hypothesis that during spaceflight mesenchymal stem cells are diverted to adipocytes at the expense of forming osteoblasts. This dataset derives results from the bone histomorphometry assay.",Spaceflight,Histological Assay,STS-62,Animal Enclosure Module (AEM),10.26030/kb2k-2150
OSD-311,Part two: ISS Enterobacteriales,"Enterobacter bugandensis
Pantoea agglomerans
Pantoea brenneri",Spaceflight Study,The microbial tracking-1 (MT-1) investigation allowed the characterization of the microbial population aboard the International Space Station (ISS).,"Spaceflight
Strain",genome sequencing,,,10.26030/fgdj-p327
OSD-313,Dissecting transcriptional responses of nucleolin mutants to red light stimulation and darkness in ground reference conditions,Arabidopsis thaliana,Ground Study,"Understanding plant adaptive responses to the space environment is a requisite for enabling space farming. Spaceflight produce deleterious effects on plant cells, particularly affecting ribosome biogenesis, a complex stress-sensitive process coordinated with cell division and differentiation, known to be activated by red light. Here, we have used mutants from the two nucleolin genes in Arabidopsis (NUC1 and NUC2), encoding the main regulator of the ribosome biogenesis in the nucleolus, in order to better understand their role in adaptive response mechanisms to stress. Thus, we show that nucleolin stress-related gene NUC2 can compensate the environmental stress provided by darkness in nuc1 plants, while nuc2 plants are not able to provide a complete response to red light. These ground control findings, as part of the ESA/NASA Seedling Growth spaceflight experiments will determine the basis for the identification of a genetic background enabling an adaptive advantage for plants in future space experiments.","Genotype
Light",transcription profiling,,European Modular Cultivation System (EMCS),10.26030/0g0m-dj21
OSD-314,Adaptive response of Arabidopsis seedlings in microgravity and Mars reduced gravity environment is enhanced by red light photostimulation,Arabidopsis thaliana,Spaceflight Study,"The response of plants to the spaceflight environment and microgravity is still not well understood, although there has been an increased emphasis on this topic. Even less is known about plants' response to partial or reduced gravity levels. In the absence of the directional cues provided by the gravity vector, the plant is especially perceptive to other cues such as light. Here, we investigate the response of Arabidopsis thaliana 6-day-old seedlings to microgravity and the Mars partial gravity level during spaceflight, as well as the effects of red light photostimulation by determining meristematic cell growth and proliferation. These experiments involve microscopic techniques together with transcriptomic studies. We demonstrate that microgravity and partial gravity trigger differential responses. The microgravity environment activates hormonal routes responsible for proliferation/growth and upregulates plastid/mitochondrial-encoded transcripts, even in the dark. In contrast, the Mars gravity level inhibits these routes and activates responses to stress factors to restore cell growth parameters only when red photostimulation is provided. This response is accompanied by upregulation of numerous transcription factors such as the environmental acclimation-related WRKY family. In the long term, these discoveries can be applied in the design of bioregenerative life support systems and space farming.","Spaceflight
Altered Gravity
Light",transcription profiling,"SpaceX-4, SpaceX-6",European Modular Cultivation System (EMCS),10.26030/z5yf-jx91
OSD-315,Comparative proteomic analysis and bioluminescent reporter gene assays to investigate effects of simulated microgravity on Caco-2 cells,Homo sapiens,Ground Study,Microgravity is one of the most important features in spaceflight. Previous evidence has shown that significant changes to the musculoskeletal and immune systems occurred under microgravity. The present study was undertaken to explore the change in protein abundance in human colon colorectal cells that were incubated for 48 or 72 h either in normal conditions and µG simulated conditions. The comparative proteomic method based on the 18O labeling technique was applied to investigate the up-regulated proteins and down-regulated proteins in SH-SY5Y under simulated microgravity.,"Microgravity Simulation
Tiime",protein expression profiling,,,10.26030/mnw8-e749
OSD-316,Plasticity of the human IgM repertoire in response to a long-term spaceflight,Homo sapiens,Spaceflight Study,"Immune dysregulation is among the main adverse outcomes of spaceflight. Despite its crucial role in host protection, effects on the human antibody repertoire are unknown. Consequently, we examined the IgM repertoire of five cosmonauts 25 days before launch, after 64 and 129 days spent on the International Space Station (ISS), and after 1, 7 and 30 days of Earth reambulation using high-throughput sequencing. This is the first study of this kind. Our data revealed that the IgM repertoire of cosmonauts was different from the one of control subjects already prior to launch, and that 2 out the 5 analyzed cosmonauts presented significant changes of their IgM repertoire during the mission. These modifications persisted up to 30 days after landing, likely affected the specificities of IgM binding sites, correlated with changes of the V(D)J recombination process in charge of creating functional antibody genes, and coincided with a higher stress response. These data confirm that about half of the astronauts who spent six months on the ISS are subjected to immunological changes, contribute to explain increased susceptibility to infection, reveal individual responses and consequently that personalized approaches should be implemented during future deep-space exploration missions that will endure for an unprecedented amount of time.","Spaceflight
Study Subject
Time",transcription profiling,,,10.26030/52jr-2e46
